PA,SZ,AG,Pop
Choa Chu Kang,Yew Tee,55_to_59,3290
Choa Chu Kang,Yew Tee,60_to_64,2710
Choa Chu Kang,Yew Tee,65_to_69,1650
Choa Chu Kang,Yew Tee,70_to_74,860
Choa Chu Kang,Yew Tee,75_to_79,540
Choa Chu Kang,Yew Tee,80_to_84,320
Choa Chu Kang,Yew Tee,85_to_89,170
Choa Chu Kang,Yew Tee,90_and_over,90
Clementi,Clementi Central,0_to_4,480
Clementi,Clementi Central,5_to_9,630
Clementi,Clementi Central,10_to_14,670
Clementi,Clementi Central,15_to_19,640
Clementi,Clementi Central,20_to_24,720
Clementi,Clementi Central,25_to_29,890
Clementi,Clementi Central,30_to_34,820
Clementi,Clementi Central,35_to_39,990
Clementi,Clementi Central,40_to_44,1090
Clementi,Clementi Central,45_to_49,1210
Clementi,Clementi Central,50_to_54,960
Clementi,Clementi Central,55_to_59,1020
Clementi,Clementi Central,60_to_64,990
Clementi,Clementi Central,65_to_69,1020
Clementi,Clementi Central,70_to_74,840
Clementi,Clementi Central,75_to_79,520
Clementi,Clementi Central,80_to_84,310
Clementi,Clementi Central,85_to_89,170
Clementi,Clementi Central,90_and_over,90
Clementi,Clementi North,0_to_4,1470
Clementi,Clementi North,5_to_9,1230
Clementi,Clementi North,10_to_14,1150
Clementi,Clementi North,15_to_19,1210
Clementi,Clementi North,20_to_24,1280
Clementi,Clementi North,25_to_29,1650
Clementi,Clementi North,30_to_34,2320
Clementi,Clementi North,35_to_39,2420
Clementi,Clementi North,40_to_44,2240
Clementi,Clementi North,45_to_49,2160
Clementi,Clementi North,50_to_54,1940
Clementi,Clementi North,55_to_59,1950
Clementi,Clementi North,60_to_64,1930
Clementi,Clementi North,65_to_69,2110
Clementi,Clementi North,70_to_74,1730
Clementi,Clementi North,75_to_79,1130
Clementi,Clementi North,80_to_84,760
Clementi,Clementi North,85_to_89,360
Clementi,Clementi North,90_and_over,240
Clementi,Clementi West,0_to_4,540
Clementi,Clementi West,5_to_9,630
Clementi,Clementi West,10_to_14,780
Clementi,Clementi West,15_to_19,800
Clementi,Clementi West,20_to_24,820
Clementi,Clementi West,25_to_29,890
Clementi,Clementi West,30_to_34,840
Clementi,Clementi West,35_to_39,1110
Clementi,Clementi West,40_to_44,1280
Clementi,Clementi West,45_to_49,1320
Clementi,Clementi West,50_to_54,1200
Clementi,Clementi West,55_to_59,1190
Clementi,Clementi West,60_to_64,1240
Clementi,Clementi West,65_to_69,1200
Clementi,Clementi West,70_to_74,800
Clementi,Clementi West,75_to_79,510
Clementi,Clementi West,80_to_84,260
Clementi,Clementi West,85_to_89,130
Clementi,Clementi West,90_and_over,50
Clementi,Clementi Woods,0_to_4,690
Clementi,Clementi Woods,5_to_9,700
Clementi,Clementi Woods,10_to_14,780
Clementi,Clementi Woods,15_to_19,780
Clementi,Clementi Woods,20_to_24,800
Clementi,Clementi Woods,25_to_29,910
Clementi,Clementi Woods,30_to_34,1060
Clementi,Clementi Woods,35_to_39,1200
Clementi,Clementi Woods,40_to_44,1130
Clementi,Clementi Woods,45_to_49,1150
Clementi,Clementi Woods,50_to_54,1150
Clementi,Clementi Woods,55_to_59,1200
Clementi,Clementi Woods,60_to_64,1030
Clementi,Clementi Woods,65_to_69,1090
Clementi,Clementi Woods,70_to_74,920
Clementi,Clementi Woods,75_to_79,530
Clementi,Clementi Woods,80_to_84,350
Clementi,Clementi Woods,85_to_89,160
Clementi,Clementi Woods,90_and_over,80
Clementi,Faber,0_to_4,300
Clementi,Faber,5_to_9,450
Clementi,Faber,10_to_14,430
Clementi,Faber,15_to_19,370
Clementi,Faber,20_to_24,340
Clementi,Faber,25_to_29,360
Clementi,Faber,30_to_34,400
Clementi,Faber,35_to_39,510
Clementi,Faber,40_to_44,550
Clementi,Faber,45_to_49,530
Clementi,Faber,50_to_54,410
Clementi,Faber,55_to_59,310
Clementi,Faber,60_to_64,270
Clementi,Faber,65_to_69,240
Clementi,Faber,70_to_74,170
Clementi,Faber,75_to_79,100
Clementi,Faber,80_to_84,70
Clementi,Faber,85_to_89,30
Clementi,Faber,90_and_over,10
Clementi,Pandan,0_to_4,0
Clementi,Pandan,5_to_9,0
Clementi,Pandan,10_to_14,0
Clementi,Pandan,15_to_19,0
Clementi,Pandan,20_to_24,0
Clementi,Pandan,25_to_29,0
Clementi,Pandan,30_to_34,0
Clementi,Pandan,35_to_39,0
Clementi,Pandan,40_to_44,0
Clementi,Pandan,45_to_49,0
Clementi,Pandan,50_to_54,0
Clementi,Pandan,55_to_59,0
Clementi,Pandan,60_to_64,0
Clementi,Pandan,65_to_69,0
Clementi,Pandan,70_to_74,0
Clementi,Pandan,75_to_79,0
Clementi,Pandan,80_to_84,0
Clementi,Pandan,85_to_89,0
Clementi,Pandan,90_and_over,0
Clementi,Sunset Way,0_to_4,190
Clementi,Sunset Way,5_to_9,240
Clementi,Sunset Way,10_to_14,280
Clementi,Sunset Way,15_to_19,340
Clementi,Sunset Way,20_to_24,400
Clementi,Sunset Way,25_to_29,390
Clementi,Sunset Way,30_to_34,370
Clementi,Sunset Way,35_to_39,320
Clementi,Sunset Way,40_to_44,380
Clementi,Sunset Way,45_to_49,440
Clementi,Sunset Way,50_to_54,480
Clementi,Sunset Way,55_to_59,490
Clementi,Sunset Way,60_to_64,470
Clementi,Sunset Way,65_to_69,500
Clementi,Sunset Way,70_to_74,370
Clementi,Sunset Way,75_to_79,200
Clementi,Sunset Way,80_to_84,140
Clementi,Sunset Way,85_to_89,70
Clementi,Sunset Way,90_and_over,40
Clementi,Toh Tuck,0_to_4,0
Clementi,Toh Tuck,5_to_9,0
Clementi,Toh Tuck,10_to_14,0
Clementi,Toh Tuck,15_to_19,0
Clementi,Toh Tuck,20_to_24,0
Clementi,Toh Tuck,25_to_29,0
Clementi,Toh Tuck,30_to_34,0
Clementi,Toh Tuck,35_to_39,0
Clementi,Toh Tuck,40_to_44,0
Clementi,Toh Tuck,45_to_49,0
Clementi,Toh Tuck,50_to_54,0
Clementi,Toh Tuck,55_to_59,0
Clementi,Toh Tuck,60_to_64,0
Clementi,Toh Tuck,65_to_69,0
Clementi,Toh Tuck,70_to_74,0
Clementi,Toh Tuck,75_to_79,0
Clementi,Toh Tuck,80_to_84,0
Clementi,Toh Tuck,85_to_89,0
Clementi,Toh Tuck,90_and_over,0
Clementi,West Coast,0_to_4,290
Clementi,West Coast,5_to_9,430
Clementi,West Coast,10_to_14,520
Clementi,West Coast,15_to_19,410
Clementi,West Coast,20_to_24,340
Clementi,West Coast,25_to_29,340
Clementi,West Coast,30_to_34,270
Clementi,West Coast,35_to_39,440
Clementi,West Coast,40_to_44,610
Clementi,West Coast,45_to_49,650
Clementi,West Coast,50_to_54,500
Clementi,West Coast,55_to_59,380
Clementi,West Coast,60_to_64,320
Clementi,West Coast,65_to_69,300
Clementi,West Coast,70_to_74,240
Clementi,West Coast,75_to_79,140
Clementi,West Coast,80_to_84,80
Clementi,West Coast,85_to_89,40
Clementi,West Coast,90_and_over,10
Downtown Core,Anson,0_to_4,0
Downtown Core,Anson,5_to_9,0
Downtown Core,Anson,10_to_14,0
Downtown Core,Anson,15_to_19,0
Downtown Core,Anson,20_to_24,0
Downtown Core,Anson,25_to_29,0
Downtown Core,Anson,30_to_34,0
Downtown Core,Anson,35_to_39,0
Downtown Core,Anson,40_to_44,0
Downtown Core,Anson,45_to_49,0
Downtown Core,Anson,50_to_54,0
Downtown Core,Anson,55_to_59,0
Downtown Core,Anson,60_to_64,0
Downtown Core,Anson,65_to_69,0
Downtown Core,Anson,70_to_74,0
Downtown Core,Anson,75_to_79,0
Downtown Core,Anson,80_to_84,0
Downtown Core,Anson,85_to_89,0
Downtown Core,Anson,90_and_over,0
Downtown Core,Bayfront Subzone,0_to_4,0
Downtown Core,Bayfront Subzone,5_to_9,0
Downtown Core,Bayfront Subzone,10_to_14,0
Downtown Core,Bayfront Subzone,15_to_19,0
Downtown Core,Bayfront Subzone,20_to_24,0
Downtown Core,Bayfront Subzone,25_to_29,0
Downtown Core,Bayfront Subzone,30_to_34,0
Downtown Core,Bayfront Subzone,35_to_39,0
Downtown Core,Bayfront Subzone,40_to_44,0
Downtown Core,Bayfront Subzone,45_to_49,0
Downtown Core,Bayfront Subzone,50_to_54,0
Downtown Core,Bayfront Subzone,55_to_59,0
Downtown Core,Bayfront Subzone,60_to_64,0
Downtown Core,Bayfront Subzone,65_to_69,0
Downtown Core,Bayfront Subzone,70_to_74,0
Downtown Core,Bayfront Subzone,75_to_79,0
Downtown Core,Bayfront Subzone,80_to_84,0
Downtown Core,Bayfront Subzone,85_to_89,0
Downtown Core,Bayfront Subzone,90_and_over,0
Downtown Core,Bugis,0_to_4,20
Downtown Core,Bugis,5_to_9,40
Downtown Core,Bugis,10_to_14,10
Downtown Core,Bugis,15_to_19,40
Downtown Core,Bugis,20_to_24,50
Downtown Core,Bugis,25_to_29,50
Downtown Core,Bugis,30_to_34,70
Downtown Core,Bugis,35_to_39,90
Downtown Core,Bugis,40_to_44,70
Downtown Core,Bugis,45_to_49,90
Downtown Core,Bugis,50_to_54,70
Downtown Core,Bugis,55_to_59,60
Downtown Core,Bugis,60_to_64,60
Downtown Core,Bugis,65_to_69,70
Downtown Core,Bugis,70_to_74,60
Downtown Core,Bugis,75_to_79,30
Downtown Core,Bugis,80_to_84,20
Downtown Core,Bugis,85_to_89,10
Downtown Core,Bugis,90_and_over,20
Downtown Core,Cecil,0_to_4,0
Downtown Core,Cecil,5_to_9,0
Downtown Core,Cecil,10_to_14,0
Downtown Core,Cecil,15_to_19,0
Downtown Core,Cecil,20_to_24,20
Downtown Core,Cecil,25_to_29,20
Downtown Core,Cecil,30_to_34,40
Downtown Core,Cecil,35_to_39,40
Downtown Core,Cecil,40_to_44,20
Downtown Core,Cecil,45_to_49,20
Downtown Core,Cecil,50_to_54,20
Downtown Core,Cecil,55_to_59,10
Downtown Core,Cecil,60_to_64,10
Downtown Core,Cecil,65_to_69,0
Downtown Core,Cecil,70_to_74,0
Downtown Core,Cecil,75_to_79,0
Downtown Core,Cecil,80_to_84,0
Downtown Core,Cecil,85_to_89,0
Downtown Core,Cecil,90_and_over,0
Downtown Core,Central Subzone,0_to_4,40
Downtown Core,Central Subzone,5_to_9,30
Downtown Core,Central Subzone,10_to_14,30
Downtown Core,Central Subzone,15_to_19,30
Downtown Core,Central Subzone,20_to_24,20
Downtown Core,Central Subzone,25_to_29,50
Downtown Core,Central Subzone,30_to_34,70
Downtown Core,Central Subzone,35_to_39,100
Downtown Core,Central Subzone,40_to_44,100
Downtown Core,Central Subzone,45_to_49,110
Downtown Core,Central Subzone,50_to_54,70
Downtown Core,Central Subzone,55_to_59,50
Downtown Core,Central Subzone,60_to_64,40
Downtown Core,Central Subzone,65_to_69,20
Downtown Core,Central Subzone,70_to_74,20
Downtown Core,Central Subzone,75_to_79,0
Downtown Core,Central Subzone,80_to_84,0
Downtown Core,Central Subzone,85_to_89,0
Downtown Core,Central Subzone,90_and_over,0
Downtown Core,City Hall,0_to_4,0
Downtown Core,City Hall,5_to_9,0
Downtown Core,City Hall,10_to_14,0
Downtown Core,City Hall,15_to_19,0
Downtown Core,City Hall,20_to_24,0
Downtown Core,City Hall,25_to_29,0
Downtown Core,City Hall,30_to_34,0
Downtown Core,City Hall,35_to_39,0
Downtown Core,City Hall,40_to_44,0
Downtown Core,City Hall,45_to_49,0
Downtown Core,City Hall,50_to_54,0
Downtown Core,City Hall,55_to_59,0
Downtown Core,City Hall,60_to_64,0
Downtown Core,City Hall,65_to_69,0
Downtown Core,City Hall,70_to_74,0
Downtown Core,City Hall,75_to_79,0
Downtown Core,City Hall,80_to_84,0
Downtown Core,City Hall,85_to_89,0
Downtown Core,City Hall,90_and_over,0
Downtown Core,Clifford Pier,0_to_4,0
Downtown Core,Clifford Pier,5_to_9,0
Downtown Core,Clifford Pier,10_to_14,0
Downtown Core,Clifford Pier,15_to_19,0
Downtown Core,Clifford Pier,20_to_24,0
Downtown Core,Clifford Pier,25_to_29,0
Downtown Core,Clifford Pier,30_to_34,0
Downtown Core,Clifford Pier,35_to_39,0
Downtown Core,Clifford Pier,40_to_44,0
Downtown Core,Clifford Pier,45_to_49,0
Downtown Core,Clifford Pier,50_to_54,0
Downtown Core,Clifford Pier,55_to_59,0
Downtown Core,Clifford Pier,60_to_64,0
Downtown Core,Clifford Pier,65_to_69,0
Downtown Core,Clifford Pier,70_to_74,0
Downtown Core,Clifford Pier,75_to_79,0
Downtown Core,Clifford Pier,80_to_84,0
Downtown Core,Clifford Pier,85_to_89,0
Downtown Core,Clifford Pier,90_and_over,0
Downtown Core,Marina Centre,0_to_4,0
Downtown Core,Marina Centre,5_to_9,0
Downtown Core,Marina Centre,10_to_14,0
Downtown Core,Marina Centre,15_to_19,0
Downtown Core,Marina Centre,20_to_24,0
Downtown Core,Marina Centre,25_to_29,0
Downtown Core,Marina Centre,30_to_34,0
Downtown Core,Marina Centre,35_to_39,0
Downtown Core,Marina Centre,40_to_44,0
Downtown Core,Marina Centre,45_to_49,0
Downtown Core,Marina Centre,50_to_54,0
Downtown Core,Marina Centre,55_to_59,0
Downtown Core,Marina Centre,60_to_64,0
Downtown Core,Marina Centre,65_to_69,0
Downtown Core,Marina Centre,70_to_74,0
Downtown Core,Marina Centre,75_to_79,0
Downtown Core,Marina Centre,80_to_84,0
Downtown Core,Marina Centre,85_to_89,0
Downtown Core,Marina Centre,90_and_over,0
Downtown Core,Maxwell,0_to_4,0
Downtown Core,Maxwell,5_to_9,0
Downtown Core,Maxwell,10_to_14,0
Downtown Core,Maxwell,15_to_19,0
Downtown Core,Maxwell,20_to_24,0
Downtown Core,Maxwell,25_to_29,0
Downtown Core,Maxwell,30_to_34,0
Downtown Core,Maxwell,35_to_39,0
Downtown Core,Maxwell,40_to_44,0
Downtown Core,Maxwell,45_to_49,0
Downtown Core,Maxwell,50_to_54,0
Downtown Core,Maxwell,55_to_59,0
Downtown Core,Maxwell,60_to_64,0
Downtown Core,Maxwell,65_to_69,0
Downtown Core,Maxwell,70_to_74,0
Downtown Core,Maxwell,75_to_79,0
Downtown Core,Maxwell,80_to_84,0
Downtown Core,Maxwell,85_to_89,0
Downtown Core,Maxwell,90_and_over,0
Downtown Core,Phillip,0_to_4,0
Downtown Core,Phillip,5_to_9,0
Downtown Core,Phillip,10_to_14,0
Downtown Core,Phillip,15_to_19,0
Downtown Core,Phillip,20_to_24,0
Downtown Core,Phillip,25_to_29,0
Downtown Core,Phillip,30_to_34,0
Downtown Core,Phillip,35_to_39,0
Downtown Core,Phillip,40_to_44,0
Downtown Core,Phillip,45_to_49,0
Downtown Core,Phillip,50_to_54,0
Downtown Core,Phillip,55_to_59,0
Downtown Core,Phillip,60_to_64,0
Downtown Core,Phillip,65_to_69,0
Downtown Core,Phillip,70_to_74,0
Downtown Core,Phillip,75_to_79,0
Downtown Core,Phillip,80_to_84,0
Downtown Core,Phillip,85_to_89,0
Downtown Core,Phillip,90_and_over,0
Downtown Core,Raffles Place,0_to_4,0
Downtown Core,Raffles Place,5_to_9,0
Downtown Core,Raffles Place,10_to_14,0
Downtown Core,Raffles Place,15_to_19,0
Downtown Core,Raffles Place,20_to_24,0
Downtown Core,Raffles Place,25_to_29,0
Downtown Core,Raffles Place,30_to_34,0
Downtown Core,Raffles Place,35_to_39,0
Downtown Core,Raffles Place,40_to_44,0
Downtown Core,Raffles Place,45_to_49,0
Downtown Core,Raffles Place,50_to_54,0
Downtown Core,Raffles Place,55_to_59,0
Downtown Core,Raffles Place,60_to_64,0
Downtown Core,Raffles Place,65_to_69,0
Downtown Core,Raffles Place,70_to_74,0
Downtown Core,Raffles Place,75_to_79,0
Downtown Core,Raffles Place,80_to_84,0
Downtown Core,Raffles Place,85_to_89,0
Downtown Core,Raffles Place,90_and_over,0
Downtown Core,Tanjong Pagar,0_to_4,20
Downtown Core,Tanjong Pagar,5_to_9,20
Downtown Core,Tanjong Pagar,10_to_14,10
Downtown Core,Tanjong Pagar,15_to_19,0
Downtown Core,Tanjong Pagar,20_to_24,20
Downtown Core,Tanjong Pagar,25_to_29,50
Downtown Core,Tanjong Pagar,30_to_34,90
Downtown Core,Tanjong Pagar,35_to_39,80
Downtown Core,Tanjong Pagar,40_to_44,70
Downtown Core,Tanjong Pagar,45_to_49,50
Downtown Core,Tanjong Pagar,50_to_54,40
Downtown Core,Tanjong Pagar,55_to_59,40
Downtown Core,Tanjong Pagar,60_to_64,30
Downtown Core,Tanjong Pagar,65_to_69,20
Downtown Core,Tanjong Pagar,70_to_74,20
Downtown Core,Tanjong Pagar,75_to_79,0
Downtown Core,Tanjong Pagar,80_to_84,0
Downtown Core,Tanjong Pagar,85_to_89,0
Downtown Core,Tanjong Pagar,90_and_over,30
Geylang,Aljunied,0_to_4,1290
Geylang,Aljunied,5_to_9,1550
Geylang,Aljunied,10_to_14,1770
Geylang,Aljunied,15_to_19,1750
Geylang,Aljunied,20_to_24,1990
Geylang,Aljunied,25_to_29,2840
Geylang,Aljunied,30_to_34,2930
Geylang,Aljunied,35_to_39,2980
Geylang,Aljunied,40_to_44,3130
Geylang,Aljunied,45_to_49,3230
Geylang,Aljunied,50_to_54,2900
Geylang,Aljunied,55_to_59,3180
Geylang,Aljunied,60_to_64,3140
Geylang,Aljunied,65_to_69,2550
Geylang,Aljunied,70_to_74,1860
Geylang,Aljunied,75_to_79,1270
Geylang,Aljunied,80_to_84,910
Geylang,Aljunied,85_to_89,550
Geylang,Aljunied,90_and_over,370
Geylang,Geylang East,0_to_4,1180
Geylang,Geylang East,5_to_9,1350
Geylang,Geylang East,10_to_14,1440
Geylang,Geylang East,15_to_19,1460
Geylang,Geylang East,20_to_24,1620
Geylang,Geylang East,25_to_29,2070
Geylang,Geylang East,30_to_34,2030
Geylang,Geylang East,35_to_39,2240
Geylang,Geylang East,40_to_44,2400
Geylang,Geylang East,45_to_49,2320
Geylang,Geylang East,50_to_54,2120
Geylang,Geylang East,55_to_59,2170
Geylang,Geylang East,60_to_64,2280
Geylang,Geylang East,65_to_69,1950
Geylang,Geylang East,70_to_74,1570
Geylang,Geylang East,75_to_79,970
Geylang,Geylang East,80_to_84,630
Geylang,Geylang East,85_to_89,380
Geylang,Geylang East,90_and_over,220
Geylang,Kallang Way,0_to_4,0
Geylang,Kallang Way,5_to_9,0
Geylang,Kallang Way,10_to_14,0
Geylang,Kallang Way,15_to_19,0
Geylang,Kallang Way,20_to_24,0
Geylang,Kallang Way,25_to_29,0
Geylang,Kallang Way,30_to_34,0
Geylang,Kallang Way,35_to_39,0
Geylang,Kallang Way,40_to_44,0
Geylang,Kallang Way,45_to_49,0
Geylang,Kallang Way,50_to_54,0
Geylang,Kallang Way,55_to_59,0
Geylang,Kallang Way,60_to_64,0
Geylang,Kallang Way,65_to_69,0
Geylang,Kallang Way,70_to_74,0
Geylang,Kallang Way,75_to_79,0
Geylang,Kallang Way,80_to_84,0
Geylang,Kallang Way,85_to_89,0
Geylang,Kallang Way,90_and_over,0
Geylang,Kampong Ubi,0_to_4,400
Geylang,Kampong Ubi,5_to_9,470
Geylang,Kampong Ubi,10_to_14,550
Geylang,Kampong Ubi,15_to_19,630
Geylang,Kampong Ubi,20_to_24,800
Geylang,Kampong Ubi,25_to_29,1110
Geylang,Kampong Ubi,30_to_34,960
Geylang,Kampong Ubi,35_to_39,830
Geylang,Kampong Ubi,40_to_44,840
Geylang,Kampong Ubi,45_to_49,750
Geylang,Kampong Ubi,50_to_54,830
Geylang,Kampong Ubi,55_to_59,1100
Geylang,Kampong Ubi,60_to_64,1110
Geylang,Kampong Ubi,65_to_69,770
Geylang,Kampong Ubi,70_to_74,480
Geylang,Kampong Ubi,75_to_79,270
Geylang,Kampong Ubi,80_to_84,110
Geylang,Kampong Ubi,85_to_89,60
Geylang,Kampong Ubi,90_and_over,40
Geylang,Macpherson,0_to_4,1090
Geylang,Macpherson,5_to_9,950
Geylang,Macpherson,10_to_14,1150
Geylang,Macpherson,15_to_19,1360
Geylang,Macpherson,20_to_24,1580
Geylang,Macpherson,25_to_29,1960
Geylang,Macpherson,30_to_34,1990
Geylang,Macpherson,35_to_39,1740
Geylang,Macpherson,40_to_44,1690
Geylang,Macpherson,45_to_49,1920
Geylang,Macpherson,50_to_54,2300
Geylang,Macpherson,55_to_59,2450
Geylang,Macpherson,60_to_64,2260
Geylang,Macpherson,65_to_69,1800
Geylang,Macpherson,70_to_74,1220
Geylang,Macpherson,75_to_79,1000
Geylang,Macpherson,80_to_84,730
Geylang,Macpherson,85_to_89,400
Geylang,Macpherson,90_and_over,230
Hougang,Defu Industrial Park,0_to_4,0
Hougang,Defu Industrial Park,5_to_9,0
Hougang,Defu Industrial Park,10_to_14,0
Hougang,Defu Industrial Park,15_to_19,0
Hougang,Defu Industrial Park,20_to_24,0
Hougang,Defu Industrial Park,25_to_29,0
Hougang,Defu Industrial Park,30_to_34,0
Hougang,Defu Industrial Park,35_to_39,0
Hougang,Defu Industrial Park,40_to_44,0
Hougang,Defu Industrial Park,45_to_49,0
Hougang,Defu Industrial Park,50_to_54,0
Hougang,Defu Industrial Park,55_to_59,0
Hougang,Defu Industrial Park,60_to_64,0
Hougang,Defu Industrial Park,65_to_69,0
Hougang,Defu Industrial Park,70_to_74,0
Hougang,Defu Industrial Park,75_to_79,0
Hougang,Defu Industrial Park,80_to_84,0
Hougang,Defu Industrial Park,85_to_89,0
Hougang,Defu Industrial Park,90_and_over,0
Hougang,Hougang Central,0_to_4,130
Hougang,Hougang Central,5_to_9,140
Hougang,Hougang Central,10_to_14,220
Hougang,Hougang Central,15_to_19,290
Hougang,Hougang Central,20_to_24,350
Hougang,Hougang Central,25_to_29,450
Hougang,Hougang Central,30_to_34,310
Hougang,Hougang Central,35_to_39,260
Hougang,Hougang Central,40_to_44,270
Hougang,Hougang Central,45_to_49,350
Hougang,Hougang Central,50_to_54,400
Hougang,Hougang Central,55_to_59,430
Hougang,Hougang Central,60_to_64,410
Hougang,Hougang Central,65_to_69,300
Hougang,Hougang Central,70_to_74,180
Hougang,Hougang Central,75_to_79,120
Hougang,Hougang Central,80_to_84,70
Hougang,Hougang Central,85_to_89,50
Hougang,Hougang Central,90_and_over,30
Hougang,Hougang East,0_to_4,1440
Hougang,Hougang East,5_to_9,1210
Hougang,Hougang East,10_to_14,1030
Hougang,Hougang East,15_to_19,1140
Hougang,Hougang East,20_to_24,1610
Hougang,Hougang East,25_to_29,2110
Hougang,Hougang East,30_to_34,2420
Hougang,Hougang East,35_to_39,2150
Hougang,Hougang East,40_to_44,1700
Hougang,Hougang East,45_to_49,1610
Hougang,Hougang East,50_to_54,1710
Hougang,Hougang East,55_to_59,2120
Hougang,Hougang East,60_to_64,1800
Hougang,Hougang East,65_to_69,1320
Hougang,Hougang East,70_to_74,830
Hougang,Hougang East,75_to_79,480
Hougang,Hougang East,80_to_84,260
Hougang,Hougang East,85_to_89,150
Hougang,Hougang East,90_and_over,80
Hougang,Hougang West,0_to_4,1250
Hougang,Hougang West,5_to_9,1350
Hougang,Hougang West,10_to_14,1730
Hougang,Hougang West,15_to_19,2190
Hougang,Hougang West,20_to_24,3160
Hougang,Hougang West,25_to_29,4050
Hougang,Hougang West,30_to_34,3260
Hougang,Hougang West,35_to_39,2690
Hougang,Hougang West,40_to_44,2630
Hougang,Hougang West,45_to_49,3020
Hougang,Hougang West,50_to_54,3530
Hougang,Hougang West,55_to_59,4620
Hougang,Hougang West,60_to_64,4380
Hougang,Hougang West,65_to_69,3240
Hougang,Hougang West,70_to_74,1960
Hougang,Hougang West,75_to_79,1160
Hougang,Hougang West,80_to_84,700
Hougang,Hougang West,85_to_89,400
Hougang,Hougang West,90_and_over,210
Hougang,Kangkar,0_to_4,1770
Hougang,Kangkar,5_to_9,1610
Hougang,Kangkar,10_to_14,1520
Hougang,Kangkar,15_to_19,1660
Hougang,Kangkar,20_to_24,1670
Hougang,Kangkar,25_to_29,2110
Hougang,Kangkar,30_to_34,2770
Hougang,Kangkar,35_to_39,2600
Hougang,Kangkar,40_to_44,2410
Hougang,Kangkar,45_to_49,2440
Hougang,Kangkar,50_to_54,2240
Hougang,Kangkar,55_to_59,2300
Hougang,Kangkar,60_to_64,2150
Hougang,Kangkar,65_to_69,1760
Hougang,Kangkar,70_to_74,1130
Hougang,Kangkar,75_to_79,770
Hougang,Kangkar,80_to_84,530
Hougang,Kangkar,85_to_89,250
Hougang,Kangkar,90_and_over,130
Hougang,Kovan,0_to_4,870
Hougang,Kovan,5_to_9,1140
Hougang,Kovan,10_to_14,1300
Hougang,Kovan,15_to_19,1520
Hougang,Kovan,20_to_24,1690
Hougang,Kovan,25_to_29,1910
Hougang,Kovan,30_to_34,1580
Hougang,Kovan,35_to_39,1540
Hougang,Kovan,40_to_44,1760
Hougang,Kovan,45_to_49,2050
Hougang,Kovan,50_to_54,1830
Hougang,Kovan,55_to_59,1960
Hougang,Kovan,60_to_64,1900
Hougang,Kovan,65_to_69,1440
Hougang,Kovan,70_to_74,1000
Hougang,Kovan,75_to_79,650
Hougang,Kovan,80_to_84,430
Hougang,Kovan,85_to_89,210
Hougang,Kovan,90_and_over,170
Hougang,Lorong Ah Soo,0_to_4,960
Hougang,Lorong Ah Soo,5_to_9,1130
Hougang,Lorong Ah Soo,10_to_14,1480
Hougang,Lorong Ah Soo,15_to_19,1780
Hougang,Lorong Ah Soo,20_to_24,1980
Hougang,Lorong Ah Soo,25_to_29,2280
Hougang,Lorong Ah Soo,30_to_34,2120
Hougang,Lorong Ah Soo,35_to_39,2100
Hougang,Lorong Ah Soo,40_to_44,2210
Hougang,Lorong Ah Soo,45_to_49,2500
Hougang,Lorong Ah Soo,50_to_54,2480
Hougang,Lorong Ah Soo,55_to_59,2660
Hougang,Lorong Ah Soo,60_to_64,2760
Hougang,Lorong Ah Soo,65_to_69,2250
Hougang,Lorong Ah Soo,70_to_74,1630
Hougang,Lorong Ah Soo,75_to_79,1060
Hougang,Lorong Ah Soo,80_to_84,720
Hougang,Lorong Ah Soo,85_to_89,380
Hougang,Lorong Ah Soo,90_and_over,170
Hougang,Lorong Halus,0_to_4,0
Hougang,Lorong Halus,5_to_9,0
Hougang,Lorong Halus,10_to_14,0
Hougang,Lorong Halus,15_to_19,0
Hougang,Lorong Halus,20_to_24,0
Hougang,Lorong Halus,25_to_29,0
Hougang,Lorong Halus,30_to_34,0
Hougang,Lorong Halus,35_to_39,0
Hougang,Lorong Halus,40_to_44,0
Hougang,Lorong Halus,45_to_49,0
Hougang,Lorong Halus,50_to_54,0
Hougang,Lorong Halus,55_to_59,0
Hougang,Lorong Halus,60_to_64,0
Hougang,Lorong Halus,65_to_69,0
Hougang,Lorong Halus,70_to_74,0
Hougang,Lorong Halus,75_to_79,0
Hougang,Lorong Halus,80_to_84,0
Hougang,Lorong Halus,85_to_89,0
Hougang,Lorong Halus,90_and_over,0
Hougang,Tai Seng,0_to_4,450
Hougang,Tai Seng,5_to_9,590
Hougang,Tai Seng,10_to_14,700
Hougang,Tai Seng,15_to_19,790
Hougang,Tai Seng,20_to_24,1010
Hougang,Tai Seng,25_to_29,1000
Hougang,Tai Seng,30_to_34,860
Hougang,Tai Seng,35_to_39,820
Hougang,Tai Seng,40_to_44,860
Hougang,Tai Seng,45_to_49,1020
Hougang,Tai Seng,50_to_54,1100
Hougang,Tai Seng,55_to_59,1170
Hougang,Tai Seng,60_to_64,1170
Hougang,Tai Seng,65_to_69,950
Hougang,Tai Seng,70_to_74,610
Hougang,Tai Seng,75_to_79,470
Hougang,Tai Seng,80_to_84,330
Hougang,Tai Seng,85_to_89,190
Hougang,Tai Seng,90_and_over,120
Hougang,Trafalgar,0_to_4,2070
Hougang,Trafalgar,5_to_9,2090
