PA,SZ,AG,Pop
Ang Mo Kio,Shangri-La,30_to_34,1030
Ang Mo Kio,Shangri-La,35_to_39,1010
Ang Mo Kio,Shangri-La,40_to_44,1090
Ang Mo Kio,Shangri-La,45_to_49,1170
Ang Mo Kio,Shangri-La,50_to_54,1260
Ang Mo Kio,Shangri-La,55_to_59,1420
Ang Mo Kio,Shangri-La,60_to_64,1240
Ang Mo Kio,Shangri-La,65_to_69,1140
Ang Mo Kio,Shangri-La,70_to_74,910
Ang Mo Kio,Shangri-La,75_to_79,670
Ang Mo Kio,Shangri-La,80_to_84,400
Ang Mo Kio,Shangri-La,85_to_89,240
Ang Mo Kio,Shangri-La,90_and_over,120
Ang Mo Kio,Tagore,0_to_4,220
Ang Mo Kio,Tagore,5_to_9,320
Ang Mo Kio,Tagore,10_to_14,430
Ang Mo Kio,Tagore,15_to_19,490
Ang Mo Kio,Tagore,20_to_24,570
Ang Mo Kio,Tagore,25_to_29,690
Ang Mo Kio,Tagore,30_to_34,490
Ang Mo Kio,Tagore,35_to_39,360
Ang Mo Kio,Tagore,40_to_44,450
Ang Mo Kio,Tagore,45_to_49,600
Ang Mo Kio,Tagore,50_to_54,590
Ang Mo Kio,Tagore,55_to_59,700
Ang Mo Kio,Tagore,60_to_64,710
Ang Mo Kio,Tagore,65_to_69,520
Ang Mo Kio,Tagore,70_to_74,330
Ang Mo Kio,Tagore,75_to_79,220
Ang Mo Kio,Tagore,80_to_84,190
Ang Mo Kio,Tagore,85_to_89,100
Ang Mo Kio,Tagore,90_and_over,60
Ang Mo Kio,Townsville,0_to_4,750
Ang Mo Kio,Townsville,5_to_9,910
Ang Mo Kio,Townsville,10_to_14,930
Ang Mo Kio,Townsville,15_to_19,830
Ang Mo Kio,Townsville,20_to_24,930
Ang Mo Kio,Townsville,25_to_29,1370
Ang Mo Kio,Townsville,30_to_34,1370
Ang Mo Kio,Townsville,35_to_39,1520
Ang Mo Kio,Townsville,40_to_44,1700
Ang Mo Kio,Townsville,45_to_49,1550
Ang Mo Kio,Townsville,50_to_54,1400
Ang Mo Kio,Townsville,55_to_59,1630
Ang Mo Kio,Townsville,60_to_64,1680
Ang Mo Kio,Townsville,65_to_69,1590
Ang Mo Kio,Townsville,70_to_74,1310
Ang Mo Kio,Townsville,75_to_79,960
Ang Mo Kio,Townsville,80_to_84,610
Ang Mo Kio,Townsville,85_to_89,330
Ang Mo Kio,Townsville,90_and_over,180
Ang Mo Kio,Yio Chu Kang,0_to_4,0
Ang Mo Kio,Yio Chu Kang,5_to_9,0
Ang Mo Kio,Yio Chu Kang,10_to_14,0
Ang Mo Kio,Yio Chu Kang,15_to_19,0
Ang Mo Kio,Yio Chu Kang,20_to_24,0
Ang Mo Kio,Yio Chu Kang,25_to_29,0
Ang Mo Kio,Yio Chu Kang,30_to_34,0
Ang Mo Kio,Yio Chu Kang,35_to_39,0
Ang Mo Kio,Yio Chu Kang,40_to_44,0
Ang Mo Kio,Yio Chu Kang,45_to_49,0
Ang Mo Kio,Yio Chu Kang,50_to_54,0
Ang Mo Kio,Yio Chu Kang,55_to_59,0
Ang Mo Kio,Yio Chu Kang,60_to_64,0
Ang Mo Kio,Yio Chu Kang,65_to_69,0
Ang Mo Kio,Yio Chu Kang,70_to_74,0
Ang Mo Kio,Yio Chu Kang,75_to_79,0
Ang Mo Kio,Yio Chu Kang,80_to_84,0
Ang Mo Kio,Yio Chu Kang,85_to_89,0
Ang Mo Kio,Yio Chu Kang,90_and_over,0
Ang Mo Kio,Yio Chu Kang East,0_to_4,160
Ang Mo Kio,Yio Chu Kang East,5_to_9,170
Ang Mo Kio,Yio Chu Kang East,10_to_14,230
Ang Mo Kio,Yio Chu Kang East,15_to_19,260
Ang Mo Kio,Yio Chu Kang East,20_to_24,320
Ang Mo Kio,Yio Chu Kang East,25_to_29,330
Ang Mo Kio,Yio Chu Kang East,30_to_34,240
Ang Mo Kio,Yio Chu Kang East,35_to_39,240
Ang Mo Kio,Yio Chu Kang East,40_to_44,250
Ang Mo Kio,Yio Chu Kang East,45_to_49,330
Ang Mo Kio,Yio Chu Kang East,50_to_54,290
Ang Mo Kio,Yio Chu Kang East,55_to_59,350
Ang Mo Kio,Yio Chu Kang East,60_to_64,360
Ang Mo Kio,Yio Chu Kang East,65_to_69,250
Ang Mo Kio,Yio Chu Kang East,70_to_74,170
Ang Mo Kio,Yio Chu Kang East,75_to_79,110
Ang Mo Kio,Yio Chu Kang East,80_to_84,80
Ang Mo Kio,Yio Chu Kang East,85_to_89,30
Ang Mo Kio,Yio Chu Kang East,90_and_over,30
Ang Mo Kio,Yio Chu Kang North,0_to_4,0
Ang Mo Kio,Yio Chu Kang North,5_to_9,0
Ang Mo Kio,Yio Chu Kang North,10_to_14,0
Ang Mo Kio,Yio Chu Kang North,15_to_19,0
Ang Mo Kio,Yio Chu Kang North,20_to_24,0
Ang Mo Kio,Yio Chu Kang North,25_to_29,0
Ang Mo Kio,Yio Chu Kang North,30_to_34,0
Ang Mo Kio,Yio Chu Kang North,35_to_39,0
Ang Mo Kio,Yio Chu Kang North,40_to_44,0
Ang Mo Kio,Yio Chu Kang North,45_to_49,0
Ang Mo Kio,Yio Chu Kang North,50_to_54,0
Ang Mo Kio,Yio Chu Kang North,55_to_59,0
Ang Mo Kio,Yio Chu Kang North,60_to_64,0
Ang Mo Kio,Yio Chu Kang North,65_to_69,0
Ang Mo Kio,Yio Chu Kang North,70_to_74,0
Ang Mo Kio,Yio Chu Kang North,75_to_79,0
Ang Mo Kio,Yio Chu Kang North,80_to_84,0
Ang Mo Kio,Yio Chu Kang North,85_to_89,0
Ang Mo Kio,Yio Chu Kang North,90_and_over,0
Ang Mo Kio,Yio Chu Kang West,0_to_4,760
Ang Mo Kio,Yio Chu Kang West,5_to_9,980
Ang Mo Kio,Yio Chu Kang West,10_to_14,1270
Ang Mo Kio,Yio Chu Kang West,15_to_19,1410
Ang Mo Kio,Yio Chu Kang West,20_to_24,1490
Ang Mo Kio,Yio Chu Kang West,25_to_29,1540
Ang Mo Kio,Yio Chu Kang West,30_to_34,1440
Ang Mo Kio,Yio Chu Kang West,35_to_39,1600
Ang Mo Kio,Yio Chu Kang West,40_to_44,1790
Ang Mo Kio,Yio Chu Kang West,45_to_49,1990
Ang Mo Kio,Yio Chu Kang West,50_to_54,1870
Ang Mo Kio,Yio Chu Kang West,55_to_59,1980
Ang Mo Kio,Yio Chu Kang West,60_to_64,1940
Ang Mo Kio,Yio Chu Kang West,65_to_69,1850
Ang Mo Kio,Yio Chu Kang West,70_to_74,1200
